apache-activemq|activemq
ansible@9|ansible
ant@1.10|ant
antlr@4|antlr
arpack-ng|arpack
atkmm@2.36|atkmm
autoconf@2.72|autoconf
awsebcli|aws-elasticbeanstalk
awscli@2|awscli
az|azure-cli
bal|ballerina
bash-completion@1|bash-completion
basisu|basis_universal
bats|bats-core
bazel@7|bazel
boehmgc|bdw-gc
libgc|bdw-gc
berkeley-db@18|berkeley-db
db|berkeley-db
bison@3.8|bison
boost@1.84|boost
bjam|boost-build
boost-jam|boost-build
botan@3|botan
brz|breezy
actor-framework|caf
cairomm@1.18|cairomm
cassandra@4.1|cassandra
clang-format@17|clang-format
clasp|clingo
gringo|clingo
aws-mon|cloud-watch
pocketsphinx|cmu-pocketsphinx
sphinxbase|cmu-sphinxbase
conan@2|conan
ck|concurrencykit
lightningd|core-lightning
cowthink|cowsay
cpanm|cpanminus
crypto++|cryptopp
ctags-exuberant|ctags
dejagnu|deja-gnu
dlv|delve
style|diction
boot2docker-cli|docker-machine
unix2dos|dos2unix
dotnet@8|dotnet
dupeseek|dupseek
libdwarf|dwarfutils
elan|elan-init
elasticsearch|elasticsearch@6
envoy@1.28|envoy
erlang@26|erlang
liblabjackusb|exodriver
faas|faas-cli
fastcgi|fcgi
ffmpeg@6|ffmpeg
file|file-formula
fishfish|fish
fluid-synth@2.3|fluid-synth
fluidsynth|fluid-synth
apache-fop|fop
4store|fourstore
alut|freealut
freetype2|freetype
libgme|game-music-emu
gcc@13|gcc
gfortran|gcc
libgd|gd
gdrive@3|gdrive
gearmand|gearman
libgeoip|geoip
ghc@9|ghc
ghc@9.8|ghc
gs|ghostscript
glbinding@3|glbinding
glibc@2.35|glibc
glibmm@2.78|glibmm
gmt@6|gmt
gsed|gnu-sed
gtypist|gnu-typist
gnupg@2.4|gnupg
gpg|gnupg
gpg2|gnupg
gpg1|gnupg@1.4
gnuplot@6|gnuplot
go@1.22|go
golang|go
google-go|go
go-feature-flag|go-feature-flag-relay-proxy
jocr|gocr
mp4box|gpac
gradle@8|gradle
grpc@1.62|grpc
gnu-scientific-library|gsl
gtk|gtk+
guile@3|guile
stack|haskell-stack
hdf5@1.14|hdf5
helm@3|helm
apache-httpd|httpd
apache2|httpd
imagemagick@7|imagemagick
iwyu|include-what-you-use
influxdb@2|influxdb
kubo|ipfs
ipython@8|ipython
isl@0.26|isl
hudson|jenkins
libjpeg|jpeg
libjpg|jpeg
libjpeg-turbo|jpeg-turbo
kk|kubekey
kubectl|kubernetes-cli
kubectl@1.29|kubernetes-cli
kubernetes-cli@1.28|kubernetes-cli
bx|libbitcoin-explorer
bn|libbitcoin-node
bs|libbitcoin-server
libcouchbase@3|libcouchbase
libfuse@3|libfuse
libgit2@1.7|libgit2
libpqxx@7|libpqxx
rtl-sdr|librtlsdr
libsigc++@3|libsigc++
libsoup@3|libsoup
libtasn|libtasn1
libtensorflow@2|libtensorflow
usb-multiplex-daemon|libusbmuxd
vid.stab|libvidstab
libxml++@2|libxml++
xmlsec1|libxmlsec1
linux-headers|linux-headers@5.15
lcms|little-cms
littlecms|little-cms
lcms2|little-cms2
llvm@17|llvm
ipsum|lorem
lua@5.4|lua
libmad|mad
nsis|makensis
mdocml|mandoc
mariadb@11.3|mariadb
mathcomp|math-comp
maven@3.9|maven
mvn|maven
mbedtls@3|mbedtls
libmcrypt|mcrypt
hashdeep|md5deep
mediainfo|media-info
hg|mercurial
libglu|mesa-glu
mc|midnight-commander
libmongoc|mongo-c-driver
mongodb-atlas|mongodb-atlas-cli
libmpdec|mpdecimal
myrepos|mr
msgpack-c|msgpack
msgpack-cpp|msgpack-cxx
mysql@8.3|mysql
mysql-client@8.3|mysql-client
nvim|neovim
nvr|neovim-remote
libnettle|nettle
node.js|node
node@21|node
nodejs|node
npm|node
numpy@1.26|numpy
twemproxy|nutcracker
observer_ward|observerward
o-caml|ocaml
ocaml@5|ocaml
liboggz|oggz
o-make|omake
openmpi|open-mpi
openocd|open-ocd
openscenegraph|open-scene-graph
ocio|opencolorio
opencv@4|opencv
openexr@3|openexr
java|openjdk
openjdk@21|openjdk
java11|openjdk@11
openssl|openssl@3
openssl@3.2|openssl@3
yubico-pam|pam_yubico
pangomm@2.50|pangomm
pcre1|pcre
leg|peg
percona-server@8.0|percona-server
perl@5.38|perl
php@8.3|php
php-cs-fixer@3|php-cs-fixer
phrase|phrase-cli
phylum|phylum-cli
pkgconfig|pkg-config
procps@4|procps
pgrep|proctools
pkill|proctools
proj@9|proj
protobuf@25|protobuf
protobuf@3.20|protobuf@3
pipeviewer|pv
pypy3|pypy3.10
pyqt@6|pyqt
pyside@6|pyside
python-gdbm|python-gdbm@3.12
python-tk|python-tk@3.12
python|python@3.12
python3|python@3.12
python@3|python@3.12
libqrencode|qrencode
qt6|qt
qt@6|qt
perl6|rakudo-star
redis@7.2|redis
rich|rich-cli
rg|ripgrep
rga|ripgrep-all
ruby@3|ruby
ruby@3.3|ruby
ruby@2|ruby@2.7
rustup|rustup-init
slang|s-lang
sbt@1|sbt
scala@3|scala
sem|schema-evolution-manager
7-zip|sevenzip
7zip|sevenzip
skaffold@2.10|skaffold
solr@9.5|solr
spidermonkey@115|spidermonkey
sqlite3|sqlite
subversion@1.14|subversion
svn|subversion
suitesparse|suite-sparse
supervisord|supervisor
swagger-codegen@3|swagger-codegen
swig@4|swig
swig@4.2|swig
synergy|synergy-core
libtag|taglib
64tass|tass64
onetbb|tbb
tbb@2021|tbb
tiv|terminalimageviewer
terraform@1.5|terraform
pt|the_platinum_searcher
ag|the_silver_searcher
3mux|threemux
thrift@0.19|thrift
git-tig|tig
tinyfugue|tiny-fugue
lukemftp|tnftp
lukemftpd|tnftpd
tomcat@10|tomcat
libtcnative|tomcat-native
traefik@2|traefik
twolame|two-lame
2ping|twoping
ucm|unisonlang
v8@12.1|v8
vimcat|vimpager
libvips|vips
vtk@9.2|vtk
wamr|wasm-micro-runtime
wxwidgets@3.2|wxwidgets
yubikey-personalization|ykpers
yq@4|yq
0install|zero-install
0mq|zeromq
zmq|zeromq
zsh-completion|zsh-completions
pzstd|zstd
